onset	duration	run_number	trial_number	task	fixation_position
96674.69259	5.9935582	1	1	1	3
96680.6945	3.5928849	1	2	2	5
96684.29573	3.5928241	1	3	2	4
96687.89689	3.5929077	1	4	2	3
96691.49813	3.5928598	1	5	2	4
96695.10767	3.5928273	1	6	2	1
96698.70883	3.5928963	1	7	2	3
96702.31007	3.5928734	1	8	2	1
96705.91127	3.5928647	1	9	2	2
96709.51244	3.5928994	1	10	2	3
96713.11365	3.5928905	1	11	2	2
96716.71484	3.5928962	1	12	2	5
96720.31607	3.5928289	1	13	2	3
96723.91728	3.5928661	1	14	2	5
96727.51848	3.5928262	1	15	2	4
96731.11968	3.5928285	1	16	2	3
96734.72085	3.5928966	1	17	2	4
96738.32204	3.5929003	1	18	2	1
96741.92329	3.5928558	1	19	2	3
96745.5245	3.5928584	1	20	2	1
96749.12569	3.5928761	1	21	2	2
96752.72689	3.5928615	1	22	2	3
96756.3281	3.5928591	1	23	2	2
96759.9293	3.5928597	1	24	2	5
96763.53044	3.5929163	1	25	2	3
96767.13166	5.9937058	1	26	1	3
96773.13369	3.5928495	1	27	3	5
96776.7349	3.5928577	1	28	3	4
96780.34516	3.5921099	1	29	3	3
96783.94566	3.5928358	1	30	3	4
96787.54684	3.5928313	1	31	3	1
96791.148	3.592867	1	32	3	3
96794.74924	3.5928695	1	33	3	1
96798.35044	3.5928727	1	34	3	2
96801.95165	3.5929229	1	35	3	3
96805.55286	3.5928578	1	36	3	2
96809.15407	3.5928516	1	37	3	5
96812.75526	3.5928617	1	38	3	3
96816.35642	3.5929068	1	39	3	5
96819.95766	3.5928669	1	40	3	4
96823.55961	3.5921337	1	41	3	3
96827.16002	3.5928746	1	42	3	4
96830.76127	3.5928623	1	43	3	1
96834.36244	3.5928898	1	44	3	3
96837.96409	3.5923642	1	45	3	1
96841.56483	3.5929177	1	46	3	2
96845.16607	3.5928639	1	47	3	3
96848.76724	3.5928836	1	48	3	2
96852.36855	3.5927687	1	49	3	5
96855.96969	3.5928603	1	50	3	3
96859.57088	5.9935889	1	51	1	3
96865.57285	3.5929035	1	52	4	5
96869.17409	3.5928652	1	53	4	4
96872.7753	3.5928584	1	54	4	3
96876.37644	3.5929189	1	55	4	4
96879.9777	3.5928687	1	56	4	1
96883.5789	3.5928707	1	57	4	3
96887.18011	3.5928238	1	58	4	1
96890.78131	3.5928626	1	59	4	2
96894.38251	3.5927856	1	60	4	3
96897.98364	3.5928973	1	61	4	2
96901.58492	3.5928671	1	62	4	5
96905.18612	3.5928233	1	63	4	3
96908.78732	3.5928699	1	64	4	5
96912.38848	3.5929057	1	65	4	4
96915.98973	3.59286	1	66	4	3
96919.59093	3.5928603	1	67	4	4
96923.1921	3.5928568	1	68	4	1
96926.79333	3.5928616	1	69	4	3
96930.39453	3.5928631	1	70	4	1
96933.99574	3.5928221	1	71	4	2
96937.59686	3.5929516	1	72	4	3
96941.19814	3.5928274	1	73	4	2
96944.79929	3.5929692	1	74	4	5
96948.40053	3.5928842	1	75	4	3
96952.00173	5.9936827	1	76	1	3
96958.00374	3.5928511	1	77	5	5
96961.60492	3.5929014	1	78	5	4
96965.20616	3.5928652	1	79	5	3
96968.80736	3.5928672	1	80	5	4
96972.40858	3.5928582	1	81	5	1
96976.00977	3.592825	1	82	5	3
96979.61097	3.5928707	1	83	5	1
96983.21218	3.592824	1	84	5	2
96986.81334	3.5930496	1	85	5	3
96990.41458	3.5928612	1	86	5	2
96994.01578	3.5928253	1	87	5	5
96997.61699	3.5928669	1	88	5	3
97001.21819	3.5928617	1	89	5	5
97004.81937	3.5928977	1	90	5	4
97008.42056	3.5929058	1	91	5	3
97012.02176	3.5929052	1	92	5	4
97015.62301	3.5928583	1	93	5	1
97019.22416	3.5929123	1	94	5	3
97022.8254	3.5928819	1	95	5	1
97026.42661	3.5928675	1	96	5	2
97030.02781	3.5928282	1	97	5	3
97033.62902	3.5928589	1	98	5	2
97037.23022	3.5928719	1	99	5	5
97040.83142	3.5928356	1	100	5	3
97044.43259	5.9937037	1	101	1	3
