onset	duration	run_number	trial_number	task	fixation_position
653.1847904	5.990804924	4	1	1	3
659.1839343	3.591254	4	2	2	5
662.7918457	3.5912354	4	3	2	4
666.3998357	3.5911516	4	4	2	3
669.9993203	3.591234	4	5	2	4
673.6072074	3.5912608	4	6	2	1
677.2151305	3.5912277	4	7	2	3
680.8230288	3.5913862	4	8	2	1
684.4226133	3.5912245	4	9	2	2
688.038835	3.591208	4	10	2	3
691.6384859	3.591182	4	11	2	2
695.24633	3.5912236	4	12	2	5
698.8543404	3.5911383	4	13	2	3
702.453812	3.5913163	4	14	2	5
706.0700557	3.59125	4	15	2	4
709.6696393	3.5912268	4	16	2	3
713.2777175	3.5910762	4	17	2	4
716.8854454	3.5912226	4	18	2	1
720.4933575	3.591226	4	19	2	3
724.0929256	3.5912437	4	20	2	1
727.7092013	3.5911948	4	21	2	2
731.3087333	3.5912247	4	22	2	3
734.9082865	3.5912445	4	23	2	2
738.5245285	3.5912439	4	24	2	5
742.132432	3.5912725	4	25	2	3
745.732033	5.9909525	4	26	1	3
751.7396668	3.591219	4	27	3	5
755.3392207	3.5912238	4	28	3	4
758.9471062	3.5912618	4	29	3	3
762.5550311	3.591243	4	30	3	4
766.1629281	3.5913006	4	31	3	1
769.7710309	3.5910401	4	32	3	3
773.3706113	3.5910208	4	33	3	1
776.9867088	3.59117	4	34	3	2
780.5862155	3.5912396	4	35	3	3
784.1941741	3.591174	4	36	3	2
787.8103583	3.59126	4	37	3	5
791.4099573	3.5912303	4	38	3	3
795.0095207	3.5912362	4	39	3	5
798.6173886	3.5912804	4	40	3	4
802.2253351	3.5914066	4	41	3	3
805.8416851	3.5911321	4	42	3	4
809.4411432	3.5912399	4	43	3	1
813.0490973	3.5911937	4	44	3	3
816.6486254	3.5912428	4	45	3	1
820.2565876	3.5911805	4	46	3	2
823.8729541	3.591051	4	47	3	3
827.4724784	3.5910967	4	48	3	2
831.0802433	3.5913918	4	49	3	5
834.6798185	3.5913327	4	50	3	3
838.2878344	5.9908273	4	51	1	3
844.29533	3.5912618	4	52	4	5
847.9032527	3.5912351	4	53	4	4
851.5111563	3.591470111	4	54	4	3
855.1109566	3.590990745	4	55	4	4
858.7188455	3.591021867	4	56	4	1
862.3265274	3.5912341	4	57	4	3
865.9345651	3.5911106	4	58	4	1
869.5340068	3.591279	4	59	4	2
873.1502905	3.5911804	4	60	4	3
876.749819	3.5912384	4	61	4	2
880.3577258	3.5912214	4	62	4	5
883.9656688	3.5911763	4	63	4	3
887.5651837	3.5912164	4	64	4	5
891.1731105	3.5913185	4	65	4	4
894.7811469	3.591100834	4	66	4	3
898.3889075	3.5912458	4	67	4	4
901.9968389	3.5912218	4	68	4	1
905.5964051	3.5911845	4	69	4	3
909.2126537	3.5912112	4	70	4	1
912.8121913	3.5912159	4	71	4	2
916.4200666	3.5912333	4	72	4	3
920.0280059	3.591242	4	73	4	2
923.6359415	3.5911943	4	74	4	5
927.2438035	3.5912342	4	75	4	3
930.851909	5.990693	4	76	1	3
936.8509362	3.5912887	4	77	5	5
940.4505471	3.5912501	4	78	5	4
944.058441	3.5912934	4	79	5	3
947.6663468	3.59123	4	80	5	4
951.2742633	3.5912605	4	81	5	1
954.8821982	3.5912138	4	82	5	3
958.4901027	3.5912324	4	83	5	1
962.0896234	3.5912748	4	84	5	2
965.7058763	3.5911916	4	85	5	3
969.3053943	3.5912619	4	86	5	2
972.9133268	3.5912642	4	87	5	5
976.5212289	3.5912068	4	88	5	3
980.1207622	3.5912646	4	89	5	5
983.7286596	3.5912455	4	90	5	4
987.3365716	3.5912532	4	91	5	3
990.9444841	3.5912729	4	92	5	4
994.5524313	3.5911881	4	93	5	1
998.1602904	3.591207	4	94	5	3
1001.759835	3.5913005	4	95	5	1
1005.376139	3.5995091	4	96	5	2
1008.984003	3.5911836	4	97	5	3
1012.600347	3.591106	4	98	5	2
1016.199809	3.5911958	4	99	5	5
1019.807696	3.5912101	4	100	5	3
1023.415578	5.9909315	4	101	1	3
