onset	duration	run_number	trial_number	task	fixation_position
97742.95368	6.0015886	3	1	1	3
97748.9636	3.5928775	3	2	2	5
97752.56485	3.5928275	3	3	2	4
97756.166	3.5929129	3	4	2	3
97759.77556	3.5928431	3	5	2	4
97763.37676	3.5928476	3	6	2	1
97766.97792	3.5929058	3	7	2	3
97770.57914	3.5928484	3	8	2	1
97774.18032	3.5929587	3	9	2	2
97777.78154	3.5928557	3	10	2	3
97781.38273	3.5928707	3	11	2	2
97784.98394	3.5929034	3	12	2	5
97788.58525	3.5927629	3	13	2	3
97792.18636	3.5928636	3	14	2	5
97795.78755	3.5928795	3	15	2	4
97799.38876	3.592857	3	16	2	3
97802.98996	3.5928489	3	17	2	4
97806.59114	3.592931	3	18	2	1
97810.19236	3.5928502	3	19	2	3
97813.79354	3.5929748	3	20	2	1
97817.39482	3.5928143	3	21	2	2
97820.99598	3.5928525	3	22	2	3
97824.59717	3.5928753	3	23	2	2
97828.19837	3.5928662	3	24	2	5
97831.79957	3.5928748	3	25	2	3
97835.40101	5.9934325	3	26	1	3
97841.40278	3.5928626	3	27	3	5
97845.00398	3.5928849	3	28	3	4
97848.60523	3.5928134	3	29	3	3
97852.20638	3.5928713	3	30	3	4
97855.80758	3.5928732	3	31	3	1
97859.40881	3.5928751	3	32	3	3
97863.00999	3.5928676	3	33	3	1
97866.61119	3.5928736	3	34	3	2
97870.21239	3.5928617	3	35	3	3
97873.8136	3.5928512	3	36	3	2
97877.41479	3.5928839	3	37	3	5
97881.01601	3.5928539	3	38	3	3
97884.61721	3.5928833	3	39	3	5
97888.21842	3.5928588	3	40	3	4
97891.8196	3.5929277	3	41	3	3
97895.42088	3.5928293	3	42	3	4
97899.022	3.592874	3	43	3	1
97902.62322	3.5928651	3	44	3	3
97906.22443	3.5928369	3	45	3	1
97909.8256	3.5928866	3	46	3	2
97913.42684	3.5928483	3	47	3	3
97917.02803	3.5928629	3	48	3	2
97920.62921	3.5928894	3	49	3	5
97924.23044	3.5928536	3	50	3	3
97927.83162	5.9936711	3	51	1	3
97933.83373	3.5927747	3	52	4	5
97937.43485	3.5928844	3	53	4	4
97941.03605	3.5928986	3	54	4	3
97944.63725	3.5928586	3	55	4	4
97948.23846	3.5928514	3	56	4	1
97951.83966	3.5928616	3	57	4	3
97955.44086	3.5928744	3	58	4	1
97959.04206	3.5928593	3	59	4	2
97962.64326	3.5928679	3	60	4	3
97966.24447	3.5928651	3	61	4	2
97969.84568	3.5928476	3	62	4	5
97973.44686	3.5928887	3	63	4	3
97977.04809	3.5928506	3	64	4	5
97980.64927	3.5928804	3	65	4	4
97984.25047	3.5928966	3	66	4	3
97987.85169	3.5928655	3	67	4	4
97991.45289	3.592881	3	68	4	1
97995.05408	3.5928704	3	69	4	3
97998.65529	3.5928622	3	70	4	1
98002.2565	3.5928525	3	71	4	2
98005.85769	3.5929648	3	72	4	3
98009.45894	3.5928618	3	73	4	2
98013.06011	3.5928516	3	74	4	5
98016.66132	3.5928685	3	75	4	3
98020.26251	5.9936674	3	76	1	3
98026.26452	3.5928671	3	77	5	5
98029.86572	3.5929245	3	78	5	4
98033.46701	3.5927819	3	79	5	3
98037.06812	3.5928546	3	80	5	4
98040.66931	3.592945	3	81	5	1
98044.27053	3.5928944	3	82	5	3
98047.87175	3.5928631	3	83	5	1
98051.47294	3.5928542	3	84	5	2
98055.07413	3.5928705	3	85	5	3
98058.67536	3.592858	3	86	5	2
98062.27655	3.5928675	3	87	5	5
98065.87775	3.5928689	3	88	5	3
98069.47895	3.5928709	3	89	5	5
98073.08064	3.592388554	3	90	5	4
98076.68138	3.5928407	3	91	5	3
98080.28257	3.5928745	3	92	5	4
98083.88377	3.5929388	3	93	5	1
98087.48497	3.5928651	3	94	5	3
98091.08616	3.592884	3	95	5	1
98094.68738	3.5928844	3	96	5	2
98098.28859	3.592883	3	97	5	3
98101.88979	3.5928784	3	98	5	2
98105.491	3.5928556	3	99	5	5
98109.09219	3.5928705	3	100	5	3
98112.69339	5.9936833	3	101	1	3
