onset	duration	run_number	trial_number	task	fixation_position
97262.96799	5.993614	2	1	1	3
97268.96995	3.5928377	2	2	2	5
97272.57115	3.5929516	2	3	2	4
97276.1807	3.5928428	2	4	2	3
97279.78187	3.5928776	2	5	2	4
97283.38308	3.5929139	2	6	2	1
97286.98429	3.5928956	2	7	2	3
97290.58549	3.5928468	2	8	2	1
97294.18671	3.5928456	2	9	2	2
97297.78791	3.5928645	2	10	2	3
97301.3891	3.592857	2	11	2	2
97304.9903	3.592855	2	12	2	5
97308.59151	3.5928527	2	13	2	3
97312.1927	3.5928772	2	14	2	5
97315.79392	3.5928558	2	15	2	4
97319.3951	3.5928639	2	16	2	3
97322.99629	3.5928993	2	17	2	4
97326.59752	3.5928464	2	18	2	1
97330.1987	3.592891	2	19	2	3
97333.79992	3.5928684	2	20	2	1
97337.40114	3.5928401	2	21	2	2
97341.00232	3.5928694	2	22	2	3
97344.60352	3.5929238	2	23	2	2
97348.20474	3.5928704	2	24	2	5
97351.80594	3.5928589	2	25	2	3
97355.40714	5.9936685	2	26	1	3
97361.40914	3.5929403	2	27	3	5
97365.01035	3.5928417	2	28	3	4
97368.61153	3.5928787	2	29	3	3
97372.21275	3.5928675	2	30	3	4
97375.81396	3.5928426	2	31	3	1
97379.41516	3.5928685	2	32	3	3
97383.01637	3.5928726	2	33	3	1
97386.61757	3.5928421	2	34	3	2
97390.21875	3.592888	2	35	3	3
97393.81998	3.5928431	2	36	3	2
97397.42117	3.592861	2	37	3	5
97401.02237	3.5928785	2	38	3	3
97404.62357	3.592881	2	39	3	5
97408.22478	3.5928941	2	40	3	4
97411.82597	3.5928765	2	41	3	3
97415.42718	3.5928659	2	42	3	4
97419.02839	3.5928617	2	43	3	1
97422.62958	3.5928513	2	44	3	3
97426.23079	3.5928471	2	45	3	1
97429.83197	3.5928841	2	46	3	2
97433.43319	3.592883	2	47	3	3
97437.03445	3.592821	2	48	3	2
97440.63558	3.5929038	2	49	3	5
97444.23683	3.5928572	2	50	3	3
97447.83802	5.993657	2	51	1	3
97453.84002	3.5929055	2	52	4	5
97457.44121	3.5928673	2	53	4	4
97461.04242	3.5928732	2	54	4	3
97464.64362	3.5928776	2	55	4	4
97468.24483	3.5928768	2	56	4	1
97471.84603	3.5928798	2	57	4	3
97475.44724	3.5928744	2	58	4	1
97479.04844	3.5928453	2	59	4	2
97482.64964	3.5928742	2	60	4	3
97486.25093	3.5927834	2	61	4	2
97489.85204	3.5928709	2	62	4	5
97493.45326	3.5928563	2	63	4	3
97497.05445	3.5928868	2	64	4	5
97500.65567	3.5928538	2	65	4	4
97504.25686	3.5929179	2	66	4	3
97507.85808	3.5928577	2	67	4	4
97511.45926	3.5928772	2	68	4	1
97515.06047	3.5928713	2	69	4	3
97518.66167	3.5928993	2	70	4	1
97522.26287	3.5928499	2	71	4	2
97525.86409	3.5928557	2	72	4	3
97529.46534	3.5928147	2	73	4	2
97533.06648	3.5928816	2	74	4	5
97536.66772	3.5928356	2	75	4	3
97540.26888	5.9936829	2	76	1	3
97546.2709	3.5928542	2	77	5	5
97549.87208	3.5928933	2	78	5	4
97553.4733	3.5928867	2	79	5	3
97557.08285	3.592856	2	80	5	4
97560.68406	3.5928905	2	81	5	1
97564.28586	3.592285668	2	82	5	3
97567.88646	3.5928555	2	83	5	1
97571.48766	3.5928848	2	84	5	2
97575.08886	3.592862	2	85	5	3
97578.69007	3.5928731	2	86	5	2
97582.29126	3.5928769	2	87	5	5
97585.89245	3.5929284	2	88	5	3
97589.49367	3.592869	2	89	5	5
97593.09488	3.5928469	2	90	5	4
97596.69606	3.5929165	2	91	5	3
97600.29731	3.592849	2	92	5	4
97603.89849	3.5928535	2	93	5	1
97607.49969	3.5928506	2	94	5	3
97611.1009	3.5930653	2	95	5	1
97614.70211	3.5928823	2	96	5	2
97618.30331	3.5928614	2	97	5	3
97621.90451	3.5928553	2	98	5	2
97625.50571	3.5928631	2	99	5	5
97629.10691	3.592868	2	100	5	3
97632.70812	5.9936689	2	101	1	3
