onset	duration	run_number	trial_number	task	fixation_position
96842.97748	5.9935072	2	1	1	3
96848.97933	3.5928529	2	2	2	5
96852.58051	3.5928627	2	3	2	4
96856.1817	3.5928838	2	4	2	3
96859.78293	3.5928546	2	5	2	4
96863.38411	3.5928758	2	6	2	1
96866.98532	3.5928619	2	7	2	3
96870.58652	3.592844	2	8	2	1
96874.18771	3.5928794	2	9	2	2
96877.78892	3.5928752	2	10	2	3
96881.39011	3.5928727	2	11	2	2
96884.99132	3.592857	2	12	2	5
96888.59251	3.5928619	2	13	2	3
96892.19371	3.5929332	2	14	2	5
96895.79494	3.592851	2	15	2	4
96899.39611	3.5928709	2	16	2	3
96902.99738	3.5927735	2	17	2	4
96906.5985	3.5929139	2	18	2	1
96910.19972	3.5928463	2	19	2	3
96913.8009	3.5928715	2	20	2	1
96917.40212	3.5928627	2	21	2	2
96921.00332	3.5928577	2	22	2	3
96924.60452	3.5928599	2	23	2	2
96928.20571	3.592872	2	24	2	5
96931.80691	3.5928751	2	25	2	3
96935.4081	5.9936901	2	26	1	3
96941.41012	3.5928706	2	27	3	5
96945.01132	3.5928824	2	28	3	4
96948.61252	3.5928588	2	29	3	3
96952.21371	3.5929034	2	30	3	4
96955.81498	3.5927919	2	31	3	1
96959.41618	3.592798	2	32	3	3
96963.01732	3.5928624	2	33	3	1
96966.61852	3.5928645	2	34	3	2
96970.21972	3.5928622	2	35	3	3
96973.82091	3.5928857	2	36	3	2
96977.42212	3.5929514	2	37	3	5
96981.02333	3.5928443	2	38	3	3
96984.62453	3.592849	2	39	3	5
96988.22571	3.5929365	2	40	3	4
96991.82703	3.5927519	2	41	3	3
96995.42812	3.5928814	2	42	3	4
96999.02932	3.5928648	2	43	3	1
97002.63052	3.5928967	2	44	3	3
97006.23177	3.5928351	2	45	3	1
97009.83292	3.5928608	2	46	3	2
97013.43415	3.5928529	2	47	3	3
97017.03533	3.5928585	2	48	3	2
97020.63653	3.5928565	2	49	3	5
97024.23772	3.5929193	2	50	3	3
97027.83893	5.9936427	2	51	1	3
97033.84095	3.5928645	2	52	4	5
97037.44212	3.5928675	2	53	4	4
97041.04333	3.5928566	2	54	4	3
97044.64455	3.5928334	2	55	4	4
97048.24573	3.5928606	2	56	4	1
97051.84692	3.5928693	2	57	4	3
97055.44812	3.5928697	2	58	4	1
97059.04935	3.5928657	2	59	4	2
97062.65058	3.5928169	2	60	4	3
97066.25173	3.592868	2	61	4	2
97069.85293	3.5928802	2	62	4	5
97073.45413	3.5928641	2	63	4	3
97077.05533	3.5928677	2	64	4	5
97080.65654	3.5928649	2	65	4	4
97084.25775	3.592849	2	66	4	3
97087.85894	3.5928456	2	67	4	4
97091.46013	3.5929319	2	68	4	1
97095.06143	3.5927727	2	69	4	3
97098.66256	3.5928458	2	70	4	1
97102.26375	3.5928709	2	71	4	2
97105.86496	3.5928477	2	72	4	3
97109.46614	3.5929449	2	73	4	2
97113.06736	3.5928358	2	74	4	5
97116.66853	3.5928696	2	75	4	3
97120.26974	5.9936845	2	76	1	3
97126.27175	3.5928663	2	77	5	5
97129.87296	3.5928478	2	78	5	4
97133.47416	3.5928835	2	79	5	3
97137.07538	3.5928277	2	80	5	4
97140.67655	3.5929152	2	81	5	1
97144.27775	3.5928511	2	82	5	3
97147.87894	3.5928939	2	83	5	1
97151.48015	3.5930101	2	84	5	2
97155.0815	3.592719	2	85	5	3
97158.68257	3.5928385	2	86	5	2
97162.28374	3.5929099	2	87	5	5
97165.88495	3.5928528	2	88	5	3
97169.48617	3.5930361	2	89	5	5
97173.08737	3.5928808	2	90	5	4
97176.68855	3.5928873	2	91	5	3
97180.28977	3.5928495	2	92	5	4
97183.89097	3.5928559	2	93	5	1
97187.49216	3.5928668	2	94	5	3
97191.09337	3.5928525	2	95	5	1
97194.69457	3.5928583	2	96	5	2
97198.29582	3.5928192	2	97	5	3
97201.89704	3.5928192	2	98	5	2
97205.49816	3.5928747	2	99	5	5
97209.09938	3.5928442	2	100	5	3
97212.70056	5.9936845	2	101	1	3
