onset	duration	run_number	trial_number	task	fixation_position
5371.767386	5.9906527	3	1	1	3
5377.766351	3.591169	3	2	2	5
5381.374153	3.5911689	3	3	2	4
5384.973738	3.5910415	3	4	2	3
5388.589941	3.5909942	3	5	2	4
5392.189242	3.591203	3	6	2	1
5395.797209	3.5910061	3	7	2	3
5399.404907	3.5911434	3	8	2	1
5403.012843	3.5912105	3	9	2	2
5406.620641	3.5909943	3	10	2	3
5410.228425	3.5910482	3	11	2	2
5413.827962	3.5909765	3	12	2	5
5417.435605	3.5911416	3	13	2	3
5421.043529	3.5910488	3	14	2	5
5424.651259	3.591082	3	15	2	4
5428.259152	3.5910837	3	16	2	3
5431.858524	3.5911411	3	17	2	4
5435.466337	3.5911338	3	18	2	1
5439.074252	3.5910029	3	19	2	3
5442.682074	3.5910242	3	20	2	1
5446.281413	3.5911719	3	21	2	2
5449.889282	3.5910969	3	22	2	3
5453.50537	3.591166	3	23	2	2
5457.104988	3.5910117	3	24	2	5
5460.712885	3.590911	3	25	2	3
5464.320566	5.9907097	3	26	1	3
5470.319573	3.5911582	3	27	3	5
5473.927387	3.5911685	3	28	3	4
5477.53531	3.5910688	3	29	3	3
5481.14317	3.5909907	3	30	3	4
5484.742499	3.5911519	3	31	3	1
5488.358652	3.5911263	3	32	3	3
5491.95821	3.5910439	3	33	3	1
5495.565937	3.5911242	3	34	3	2
5499.173899	3.5909774	3	35	3	3
5502.781538	3.5912003	3	36	3	2
5506.389399	3.5912597	3	37	3	5
5509.988829	3.5911373	3	38	3	3
5513.596751	3.5910167	3	39	3	5
5517.204572	3.5910701	3	40	3	4
5520.812295	3.5911123	3	41	3	3
5524.411767	3.5911066	3	42	3	4
5528.01955	3.5911223	3	43	3	1
5531.627325	3.5911764	3	44	3	3
5535.243622	3.591124	3	45	3	1
5538.842952	3.5911769	3	46	3	2
5542.442456	3.5912172	3	47	3	3
5546.050425	3.5909399	3	48	3	2
5549.658086	3.5911181	3	49	3	5
5553.26588	3.5911477	3	50	3	3
5556.873711	5.9907742	3	51	1	3
5562.881331	3.5909613	3	52	4	5
5566.480629	3.5910984	3	53	4	4
5570.08856	3.5909932	3	54	4	3
5573.696223	3.5911528	3	55	4	4
5577.304039	3.5911948	3	56	4	1
5580.911845	3.5911535	3	57	4	3
5584.519845	3.5909651	3	58	4	1
5588.119176	3.5911112	3	59	4	2
5591.726929	3.5911946	3	60	4	3
5595.334753	3.5911961	3	61	4	2
5598.942718	3.5910861	3	62	4	5
5602.542052	3.5912962	3	63	4	3
5606.149992	3.5909835	3	64	4	5
5609.757656	3.5910953	3	65	4	4
5613.365429	3.5911769	3	66	4	3
5616.973396	3.5909886	3	67	4	4
5620.572851	3.5910471	3	68	4	1
5624.189069	3.5909732	3	69	4	3
5627.796716	3.59114	3	70	4	1
5631.396247	3.5910746	3	71	4	2
5635.003998	3.5911327	3	72	4	3
5638.611797	3.5911457	3	73	4	2
5642.211278	3.5911516	3	74	4	5
5645.827428	3.5911414	3	75	4	3
5649.435307	5.9906956	3	76	1	3
5655.434375	3.5911487	3	77	5	5
5659.04227	3.5910797	3	78	5	4
5662.641734	3.5910417	3	79	5	3
5666.257903	3.5909828	3	80	5	4
5669.857216	3.5912923	3	81	5	1
5673.465091	3.5911747	3	82	5	3
5677.073006	3.5909935	3	83	5	1
5680.68068	3.5911478	3	84	5	2
5684.288631	3.5909794	3	85	5	3
5687.888076	3.5910465	3	86	5	2
5691.495791	3.5911378	3	87	5	5
5695.103585	3.5913323	3	88	5	3
5698.71141	3.5911484	3	89	5	5
5702.319215	3.5911176	3	90	5	4
5705.918677	3.5911416	3	91	5	3
5709.526498	3.5912282	3	92	5	4
5713.134282	3.5911542	3	93	5	1
5716.74215	3.5910801	3	94	5	3
5720.341571	3.5912363	3	95	5	1
5723.957899	3.5909647	3	96	5	2
5727.557197	3.591228	3	97	5	3
5731.173447	3.5910231	3	98	5	2
5734.772828	3.5912468	3	99	5	5
5738.38062	3.5911497	3	100	5	3
5741.988447	5.9907581	3	101	1	3
