onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
73899.72781,5.9935743,2,1,1,3,9933193.0,9939201.0
73905.72969,3.5928783,2,2,2,5,9939203.0,9942802.0
73909.33096,3.5927502,2,3,2,4,9942804.0,9946404.0
73912.93205,3.5928751,2,4,2,3,9946405.0,9950005.0
73916.53324,3.5929008,2,5,2,4,9950009.0,9953607.0
73920.13446,3.5929817,2,6,2,1,9953609.0,9957208.0
73923.73568,3.5928767,2,7,2,3,9957209.0,9960809.0
73927.33687,3.5928935,2,8,2,1,9960810.0,9964410.0
73930.93808,3.5928228,2,9,2,2,9964411.0,9968011.0
73934.53928,3.5927864,2,10,2,3,9968012.0,9971612.0
73938.14044,3.5929549,2,11,2,2,9971615.0,9975213.0
73941.74169,3.5928222,2,12,2,5,9975215.0,9978815.0
73945.34295,3.5927639,2,13,2,3,9978816.0,9982416.0
73948.94404,3.5929063,2,14,2,5,9982417.0,9986017.0
73952.54524,3.5929321,2,15,2,4,9986018.0,9989618.0
73956.14644,3.5928623,2,16,2,3,9989620.0,9993220.0
73959.74763,3.5929114,2,17,2,4,9993221.0,9996821.0
73963.34894,3.5928427,2,18,2,1,9996822.0,10000422.0
73966.95008,3.5928351,2,19,2,3,10000423.0,10004023.0
73970.55134,3.5927564,2,20,2,1,10004026.0,10007624.0
73974.15251,3.59289,2,21,2,2,10007625.0,10011226.0
73977.75368,3.5928727,2,22,2,3,10011227.0,10014827.0
73981.35488,3.5928265,2,23,2,2,10014828.0,10018428.0
73984.95609,3.5928839,2,24,2,5,10018430.0,10022029.0
73988.55731,3.592839,2,25,2,3,10022031.0,10025631.0
73992.15845,5.9936844,2,26,1,3,10025634.0,10031633.0
73998.16047,3.5929465,2,27,3,5,10031636.0,10035234.0
74001.76162,3.592949,2,28,3,4,10035236.0,10038835.0
74005.36293,3.5927705,2,29,3,3,10038837.0,10042436.0
74008.9641,3.5927889,2,30,3,4,10042437.0,10046037.0
74012.56523,3.5928436,2,31,3,1,10046039.0,10049639.0
74016.16641,3.5929497,2,32,3,3,10049640.0,10053240.0
74019.76775,3.5927665,2,33,3,1,10053242.0,10056841.0
74023.36885,3.5928318,2,34,3,2,10056843.0,10060443.0
74026.97002,3.5929389,2,35,3,3,10060447.0,10064044.0
74030.57137,3.5928225,2,36,3,2,10064045.0,10067645.0
74034.17249,3.5928474,2,37,3,5,10067646.0,10071246.0
74037.77365,3.5928347,2,38,3,3,10071247.0,10074847.0
74041.37484,3.5929128,2,39,3,5,10074848.0,10078449.0
74044.97609,3.5928403,2,40,3,4,10078450.0,10082050.0
74048.57722,3.5929203,2,41,3,3,10082052.0,10085651.0
74052.17848,3.5928323,2,42,3,4,10085653.0,10089252.0
74055.7797,3.5927923,2,43,3,1,10089253.0,10092853.0
74059.38087,3.592823,2,44,3,3,10092855.0,10096455.0
74062.98208,3.5927937,2,45,3,1,10096456.0,10100056.0
74066.58323,3.5928901,2,46,3,2,10100058.0,10103657.0
74070.18441,3.5929205,2,47,3,3,10103659.0,10107259.0
74073.78566,3.5928381,2,48,3,2,10107260.0,10110860.0
74077.38687,3.5928479,2,49,3,5,10110861.0,10114461.0
74080.98807,3.5928334,2,50,3,3,10114463.0,10118062.0
74084.58921,5.9937293,2,51,1,3,10118068.0,10124064.0
74090.59126,3.5928392,2,52,4,5,10124068.0,10127665.0
74094.19247,3.5928728,2,53,4,4,10127667.0,10131267.0
74097.7937,3.5928234,2,54,4,3,10131268.0,10134868.0
74101.39482,3.5929083,2,55,4,4,10134870.0,10138469.0
74104.99602,3.5929128,2,56,4,1,10138470.0,10142071.0
74108.59722,3.5929109,2,57,4,3,10142072.0,10145672.0
74112.19846,3.5928579,2,58,4,1,10145673.0,10149273.0
74115.79966,3.5929285,2,59,4,2,10149274.0,10152874.0
74119.40087,3.5927895,2,60,4,3,10152875.0,10156475.0
74123.00198,3.5929373,2,61,4,2,10156477.0,10160076.0
74126.60322,3.592924,2,62,4,5,10160078.0,10163678.0
74130.20445,3.5928294,2,63,4,3,10163679.0,10167279.0
74133.80566,3.5928976,2,64,4,5,10167281.0,10170880.0
74137.40689,3.5928344,2,65,4,4,10170882.0,10174481.0
74141.00806,3.5928382,2,66,4,3,10174483.0,10178083.0
74144.60932,3.5928211,2,67,4,4,10178087.0,10181684.0
74148.21049,3.5928344,2,68,4,1,10181685.0,10185285.0
74151.81164,3.5929773,2,69,4,3,10185286.0,10188887.0
74155.41284,3.5928795,2,70,4,1,10188888.0,10192488.0
74159.0141,3.5928452,2,71,4,2,10192489.0,10196089.0
74162.61525,3.5928741,2,72,4,3,10196090.0,10199690.0
74166.21641,3.5929297,2,73,4,2,10199691.0,10203291.0
74169.81766,3.5928719,2,74,4,5,10203292.0,10206892.0
74173.41886,3.5928243,2,75,4,3,10206894.0,10210494.0
74177.0201,5.9935838,2,76,1,3,10210496.0,10216496.0
74183.02201,3.5928665,2,77,5,5,10216497.0,10220097.0
74186.62323,3.5928907,2,78,5,4,10220098.0,10223699.0
74190.22446,3.5929018,2,79,5,3,10223700.0,10227300.0
74193.82573,3.5927989,2,80,5,4,10227301.0,10230901.0
74197.42689,3.5928389,2,81,5,1,10230902.0,10234502.0
74201.02806,3.5929003,2,82,5,3,10234504.0,10238103.0
74204.62933,3.59284,2,83,5,1,10238107.0,10241705.0
74208.23043,3.5928786,2,84,5,2,10241709.0,10245306.0
74211.83162,3.5928552,2,85,5,3,10245307.0,10248907.0
74215.4328,3.5929442,2,86,5,2,10248908.0,10252508.0
74219.03409,3.5928753,2,87,5,5,10252509.0,10256109.0
74222.63526,3.5929032,2,88,5,3,10256111.0,10259711.0
74226.23644,3.5929133,2,89,5,5,10259712.0,10263312.0
74229.83781,3.5927253,2,90,5,4,10263313.0,10266913.0
74233.43885,3.5928735,2,91,5,3,10266914.0,10270514.0
74237.04004,3.5928942,2,92,5,4,10270516.0,10274116.0
74240.64127,3.5928629,2,93,5,1,10274117.0,10277717.0
74244.24242,3.5929228,2,94,5,3,10277718.0,10281318.0
74247.84362,3.5930753,2,95,5,1,10281320.0,10284920.0
74251.44487,3.5928421,2,96,5,2,10284922.0,10288520.0
74255.0461,3.592814,2,97,5,3,10288522.0,10292122.0
74258.64729,3.5928717,2,98,5,2,10292123.0,10295723.0
74262.24851,3.5927613,2,99,5,5,10295724.0,10299324.0
74265.84964,3.5928651,2,100,5,3,10299327.0,10302926.0
74269.45081,5.9937258,2,101,1,3,10302930.0,10308928.0
