onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
68878.09613,3.5928517,1,100,5,3,5315965.0,5319562.0
68881.69735,5.9936492,1,101,1,3,5319890.0,5325889.0
68949.92848,5.993631,2,1,1,3,4983352.0,4989359.0
68955.9304,3.5929115,2,2,2,5,4989361.0,4992960.0
68959.53159,3.5929307,2,3,2,4,4992962.0,4996561.0
68963.13277,3.5929203,2,4,2,3,4996563.0,5000163.0
68966.73398,3.5929227,2,5,2,4,5000166.0,5003765.0
68970.3352,3.5929014,2,6,2,1,5003767.0,5007365.0
68973.93644,3.5928584,2,7,2,3,5007366.0,5010966.0
68977.5376,3.5928257,2,8,2,1,5010968.0,5014567.0
68981.13877,3.5928924,2,9,2,2,5014571.0,5018169.0
68984.73998,3.5929267,2,10,2,3,5018172.0,5021770.0
68988.34124,3.592868,2,11,2,2,5021771.0,5025371.0
68991.94237,3.5928838,2,12,2,5,5025372.0,5028972.0
68995.54357,3.5928745,2,13,2,3,5028973.0,5032574.0
68999.14484,3.5928577,2,14,2,5,5032576.0,5036175.0
69002.74603,3.5928038,2,15,2,4,5036176.0,5039776.0
69006.34716,3.5929349,2,16,2,3,5039777.0,5043378.0
69009.94838,3.5928868,2,17,2,4,5043382.0,5046979.0
69013.54956,3.592932,2,18,2,1,5046980.0,5050580.0
69017.15083,3.5928068,2,19,2,3,5050581.0,5054181.0
69020.75204,3.5928014,2,20,2,1,5054182.0,5057782.0
69024.35322,3.5928076,2,21,2,2,5057783.0,5061383.0
69027.95443,3.592862,2,22,2,3,5061384.0,5064985.0
69031.55559,3.5928395,2,23,2,2,5064986.0,5068586.0
69035.15677,3.5928658,2,24,2,5,5068592.0,5072187.0
69038.75795,3.5929445,2,25,2,3,5072190.0,5075788.0
69042.35917,5.9937262,2,26,1,3,5075792.0,5081791.0
69048.36116,3.5929249,2,27,3,5,5081793.0,5085392.0
69051.96236,3.5929068,2,28,3,4,5085393.0,5088993.0
69055.56355,3.5928781,2,29,3,3,5088994.0,5092594.0
69059.16482,3.5927983,2,30,3,4,5092595.0,5096195.0
69062.76596,3.5929195,2,31,3,1,5096197.0,5099797.0
69066.36715,3.5929294,2,32,3,3,5099798.0,5103398.0
69069.96836,3.5929135,2,33,3,1,5103399.0,5106999.0
69073.56962,3.5927985,2,34,3,2,5107000.0,5110600.0
69077.17079,3.592833,2,35,3,3,5110602.0,5114202.0
