onset	duration	run_number	trial_number	task	fixation_position
91672.09862	6.0018606	3	1	1	3
91678.10882	3.59286	3	2	2	5
91681.71002	3.592862	3	3	2	4
91685.31959	3.5927838	3	4	2	3
91688.92911	3.5928223	3	5	2	4
91692.53031	3.5928508	3	6	2	1
91696.13151	3.5928637	3	7	2	3
91699.73269	3.5928456	3	8	2	1
91703.33389	3.5928374	3	9	2	2
91706.9351	3.5928317	3	10	2	3
91710.53627	3.5928839	3	11	2	2
91714.13745	3.5930462	3	12	2	5
91717.73889	3.5926822	3	13	2	3
91721.33988	3.5928913	3	14	2	5
91724.94111	3.5928607	3	15	2	4
91728.54237	3.5928027	3	16	2	3
91732.14351	3.5928897	3	17	2	4
91735.74485	3.5926945	3	18	2	1
91739.34592	3.5928616	3	19	2	3
91742.94708	3.5929153	3	20	2	1
91746.54835	3.5928964	3	21	2	2
91750.14955	3.5928363	3	22	2	3
91753.75072	3.5930197	3	23	2	2
91757.35192	3.5928677	3	24	2	5
91760.95312	3.5928336	3	25	2	3
91764.55429	5.9937133	3	26	1	3
91770.55629	3.5928989	3	27	3	5
91774.1575	3.5929075	3	28	3	4
91777.75874	3.5928639	3	29	3	3
91781.35989	3.5929058	3	30	3	4
91784.9611	3.5928992	3	31	3	1
91788.56234	3.59289	3	32	3	3
91792.16358	3.5928287	3	33	3	1
91795.76479	3.5929326	3	34	3	2
91799.36602	3.5927778	3	35	3	3
91802.96718	3.5929066	3	36	3	2
91806.5684	3.5928139	3	37	3	5
91810.16953	3.5928523	3	38	3	3
91813.77076	3.5928587	3	39	3	5
91817.37196	3.5929315	3	40	3	4
91820.9732	3.5928153	3	41	3	3
91824.57436	3.592868	3	42	3	4
91828.17554	3.5928487	3	43	3	1
91831.77676	3.5928649	3	44	3	3
91835.37797	3.5928561	3	45	3	1
91838.97913	3.5928669	3	46	3	2
91842.58037	3.5928636	3	47	3	3
91846.18157	3.5928674	3	48	3	2
91849.78277	3.5927955	3	49	3	5
91853.38391	3.5929549	3	50	3	3
91856.98518	5.9936666	3	51	1	3
91862.98714	3.5928756	3	52	4	5
91866.58839	3.5928601	3	53	4	4
91870.18958	3.5928354	3	54	4	3
91873.79076	3.5928974	3	55	4	4
91877.39199	3.5928693	3	56	4	1
91880.99319	3.5928267	3	57	4	3
91884.59439	3.5928278	3	58	4	1
91888.19566	3.592802	3	59	4	2
91891.79685	3.5927575	3	60	4	3
91895.39801	3.5928212	3	61	4	2
91898.99921	3.5928584	3	62	4	5
91902.60041	3.5928645	3	63	4	3
91906.20161	3.5928687	3	64	4	5
91909.80281	3.5928278	3	65	4	4
91913.40402	3.5928291	3	66	4	3
91917.00522	3.5928642	3	67	4	4
91920.60642	3.592862	3	68	4	1
91924.20759	3.5928469	3	69	4	3
91927.80883	3.5928654	3	70	4	1
91931.41003	3.5928306	3	71	4	2
91935.01123	3.5929568	3	72	4	3
91938.61255	3.5927675	3	73	4	2
91942.21364	3.5929007	3	74	4	5
91945.81484	3.5928215	3	75	4	3
91949.41604	5.9936521	3	76	1	3
91955.41805	3.5928629	3	77	5	5
91959.01925	3.5927961	3	78	5	4
91962.62038	3.5929337	3	79	5	3
91966.22165	3.5928689	3	80	5	4
91969.82293	3.5928347	3	81	5	1
91973.4242	3.5926853	3	82	5	3
91977.02526	3.5928579	3	83	5	1
91980.62642	3.592894	3	84	5	2
91984.22763	3.5929089	3	85	5	3
91987.82887	3.5929275	3	86	5	2
91991.43014	3.5928402	3	87	5	5
91995.03131	3.5928227	3	88	5	3
91998.63246	3.5928787	3	89	5	5
92002.23368	3.5928608	3	90	5	4
92005.83489	3.5928366	3	91	5	3
92009.43609	3.592856	3	92	5	4
92013.03726	3.5930127	3	93	5	1
92016.6386	3.5927502	3	94	5	3
92020.23969	3.5928946	3	95	5	1
92023.84091	3.5929411	3	96	5	2
92027.44212	3.5927886	3	97	5	3
92031.04331	3.5928337	3	98	5	2
92034.6445	3.5928418	3	99	5	5
92038.24577	3.592737	3	100	5	3
92041.84695	5.9935706	3	101	1	3
