onset	duration	run_number	trial_number	task	fixation_position
10968.85602	6.0018384	2	1	1	3
10974.8662	3.5928887	2	2	2	5
10978.46741	3.592882	2	3	2	4
10982.06862	3.5928585	2	4	2	3
10985.66981	3.5928469	2	5	2	4
10989.28767	3.592872	2	6	2	1
10992.88889	3.5928717	2	7	2	3
10996.49013	3.5929236	2	8	2	1
11000.09143	3.5927092	2	9	2	2
11003.69249	3.5928312	2	10	2	3
11007.29369	3.5928523	2	11	2	2
11010.89492	3.5929407	2	12	2	5
11014.49615	3.5929097	2	13	2	3
11018.09739	3.5927478	2	14	2	5
11021.69853	3.5928864	2	15	2	4
11025.29969	3.5928603	2	16	2	3
11028.9009	3.5931284	2	17	2	4
11032.50219	3.5927438	2	18	2	1
11036.11158	3.5929002	2	19	2	3
11039.71282	3.5928727	2	20	2	1
11043.31399	3.5928707	2	21	2	2
11046.9152	3.59288	2	22	2	3
11050.51646	3.5928161	2	23	2	2
11054.1176	3.592879	2	24	2	5
11057.71886	3.5928308	2	25	2	3
11061.32	5.9936564	2	26	1	3
11067.322	3.5928617	2	27	3	5
11070.93988	3.5928686	2	28	3	4
11074.54113	3.5928299	2	29	3	3
11078.14228	3.5928626	2	30	3	4
11081.74347	3.5928659	2	31	3	1
11085.35301	3.5928602	2	32	3	3
11088.95421	3.5928747	2	33	3	1
11092.56373	3.5929054	2	34	3	2
11096.16495	3.5928635	2	35	3	3
11099.76616	3.5928675	2	36	3	2
11103.36735	3.5928409	2	37	3	5
11106.96855	3.5928556	2	38	3	3
11110.56974	3.5928605	2	39	3	5
11114.17093	3.5928909	2	40	3	4
11117.7722	3.5928367	2	41	3	3
11121.37335	3.5928589	2	42	3	4
11124.97457	3.592832	2	43	3	1
11128.57576	3.5928279	2	44	3	3
11132.17693	3.5928685	2	45	3	1
11135.77813	3.5928958	2	46	3	2
11139.37934	3.5928498	2	47	3	3
11142.98054	3.5928819	2	48	3	2
11146.58175	3.5928485	2	49	3	5
11150.18294	3.5928727	2	50	3	3
11153.78415	5.9937146	2	51	1	3
11159.78616	3.5929015	2	52	4	5
11163.3874	3.5928104	2	53	4	4
11166.98855	3.5928582	2	54	4	3
11170.58975	3.5928696	2	55	4	4
11174.19103	3.5927773	2	56	4	1
11177.79216	3.5929317	2	57	4	3
11181.39337	3.5928596	2	58	4	1
11184.99456	3.5928645	2	59	4	2
11188.59575	3.5928574	2	60	4	3
11192.19694	3.5929017	2	61	4	2
11195.79815	3.5928563	2	62	4	5
11199.39937	3.5928546	2	63	4	3
11203.00055	3.592918	2	64	4	5
11206.60186	3.5927524	2	65	4	4
11210.20295	3.5928785	2	66	4	3
11213.80415	3.5928589	2	67	4	4
11217.40537	3.5928599	2	68	4	1
11221.00656	3.5928598	2	69	4	3
11224.60775	3.5929202	2	70	4	1
11228.20901	3.5928107	2	71	4	2
11231.81015	3.5928757	2	72	4	3
11235.41136	3.5928488	2	73	4	2
11239.01254	3.5929003	2	74	4	5
11242.61377	3.5929142	2	75	4	3
11246.21495	5.9936703	2	76	1	3
11252.21701	3.5928083	2	77	5	5
11255.81817	3.592885	2	78	5	4
11259.41941	3.5927988	2	79	5	3
11263.02054	3.5928814	2	80	5	4
11266.62175	3.5928517	2	81	5	1
11270.22295	3.5928735	2	82	5	3
11273.82417	3.5929242	2	83	5	1
11277.42536	3.5928629	2	84	5	2
11281.02656	3.5929003	2	85	5	3
11284.62775	3.5928853	2	86	5	2
11288.22896	3.5928657	2	87	5	5
11291.83016	3.5928528	2	88	5	3
11295.43136	3.5928768	2	89	5	5
11299.03257	3.5929466	2	90	5	4
11302.63376	3.5928458	2	91	5	3
11306.23495	3.5928814	2	92	5	4
11309.83618	3.5928641	2	93	5	1
11313.43737	3.5929378	2	94	5	3
11317.03857	3.5928532	2	95	5	1
11320.63977	3.5928617	2	96	5	2
11324.24097	3.5928639	2	97	5	3
11327.84222	3.592834	2	98	5	2
11331.44339	3.5928481	2	99	5	5
11335.04456	3.5928829	2	100	5	3
11338.65414	5.9936129	2	101	1	3
