onset	duration	run_number	trial_number	task	fixation_position
10513.36269	5.9935252	1	1	1	3
10519.3645	3.5928667	1	2	2	5
10522.96575	3.5928592	1	3	2	4
10526.56695	3.5928417	1	4	2	3
10530.16808	3.5928795	1	5	2	4
10533.76934	3.5928352	1	6	2	1
10537.37051	3.592975	1	7	2	3
10540.97196	3.5925957	1	8	2	1
10544.57289	3.5928486	1	9	2	2
10548.17414	3.5928403	1	10	2	3
10551.77533	3.592819	1	11	2	2
10555.37649	3.5929057	1	12	2	5
10558.97772	3.592832	1	13	2	3
10562.57892	3.5928358	1	14	2	5
10566.18007	3.5928693	1	15	2	4
10569.78127	3.5929829	1	16	2	3
10573.3825	3.5928817	1	17	2	4
10576.98369	3.5928285	1	18	2	1
10580.58485	3.5929265	1	19	2	3
10584.18611	3.5928114	1	20	2	1
10587.78731	3.5928242	1	21	2	2
10591.38847	3.5929047	1	22	2	3
10594.98971	3.592816	1	23	2	2
10598.59089	3.5928349	1	24	2	5
10602.19206	3.592871	1	25	2	3
10605.79327	5.993723	1	26	1	3
10611.80383	3.5927614	1	27	3	5
10615.40496	3.5927396	1	28	3	4
10619.00604	3.5928286	1	29	3	3
10622.6072	3.5928587	1	30	3	4
10626.20839	3.5928729	1	31	3	1
10629.80963	3.5928625	1	32	3	3
10633.41083	3.5928614	1	33	3	1
10637.01198	3.5928461	1	34	3	2
10640.61316	3.5929285	1	35	3	3
10644.21438	3.592873	1	36	3	2
10647.81563	3.5928226	1	37	3	5
10651.41678	3.5929034	1	38	3	3
10655.01803	3.59286	1	39	3	5
10658.61919	3.5928417	1	40	3	4
10662.22037	3.5929119	1	41	3	3
10665.82163	3.5928607	1	42	3	4
10669.4228	3.5928905	1	43	3	1
10673.02398	3.5928611	1	44	3	3
10676.62522	3.5928283	1	45	3	1
10680.22638	3.5929076	1	46	3	2
10683.82758	3.5928628	1	47	3	3
10687.42877	3.5928777	1	48	3	2
10691.03002	3.5928377	1	49	3	5
10694.63118	3.5928579	1	50	3	3
10698.23238	5.993648	1	51	1	3
10704.23438	3.5928975	1	52	4	5
10707.83562	3.5928229	1	53	4	4
10711.43677	3.5928539	1	54	4	3
10715.03801	3.5928158	1	55	4	4
10718.63919	3.5928515	1	56	4	1
10722.24038	3.5929004	1	57	4	3
10725.84162	3.5928549	1	58	4	1
10729.44282	3.592859	1	59	4	2
10733.04398	3.592859	1	60	4	3
10736.64521	3.5928135	1	61	4	2
10740.24642	3.5928623	1	62	4	5
10743.84758	3.5928637	1	63	4	3
10747.44877	3.592847	1	64	4	5
10751.04994	3.5928911	1	65	4	4
10754.65121	3.5928051	1	66	4	3
10758.25235	3.5929233	1	67	4	4
10761.85362	3.5927871	1	68	4	1
10765.45474	3.5929341	1	69	4	3
10769.05597	3.5928612	1	70	4	1
10772.65721	3.5928724	1	71	4	2
10776.25837	3.5929094	1	72	4	3
10779.85961	3.5928118	1	73	4	2
10783.46077	3.5929019	1	74	4	5
10787.06201	3.5928029	1	75	4	3
10790.66321	5.9936242	1	76	1	3
10796.66521	3.592809	1	77	5	5
10800.26639	3.5928541	1	78	5	4
10803.86755	3.5928938	1	79	5	3
10807.46877	3.5929193	1	80	5	4
10811.06998	3.5928745	1	81	5	1
10814.67125	3.5928341	1	82	5	3
10818.27238	3.5928583	1	83	5	1
10821.87361	3.5928668	1	84	5	2
10825.47481	3.592795	1	85	5	3
10829.07595	3.5928888	1	86	5	2
10832.67718	3.5928673	1	87	5	5
10836.27842	3.5928096	1	88	5	3
10839.87961	3.5928234	1	89	5	5
10843.48078	3.5928883	1	90	5	4
10847.082	3.5928802	1	91	5	3
10850.68322	3.592822	1	92	5	4
10854.28438	3.5929007	1	93	5	1
10857.88563	3.5928208	1	94	5	3
10861.48682	3.5928566	1	95	5	1
10865.08798	3.5928576	1	96	5	2
10868.68922	3.5928276	1	97	5	3
10872.29038	3.5929024	1	98	5	2
10875.89162	3.5928619	1	99	5	5
10879.49278	3.5928767	1	100	5	3
10883.09398	5.9936625	1	101	1	3
