onset	duration	run_number	trial_number	task	fixation_position
91521.30517	5.9935585	3	1	1	3
91527.30706	3.592863	3	2	2	5
91530.90826	3.5928726	3	3	2	4
91534.50947	3.5928289	3	4	2	3
91538.11066	3.5928801	3	5	2	4
91541.71181	3.5929149	3	6	2	1
91545.31306	3.5928261	3	7	2	3
91548.91427	3.5928563	3	8	2	1
91552.51546	3.5928185	3	9	2	2
91556.11666	3.592853	3	10	2	3
91559.71782	3.5928998	3	11	2	2
91563.31906	3.5928629	3	12	2	5
91566.92027	3.5928292	3	13	2	3
91570.52146	3.5928621	3	14	2	5
91574.12266	3.5928558	3	15	2	4
91577.72386	3.5928694	3	16	2	3
91581.32507	3.5928177	3	17	2	4
91584.92633	3.5927991	3	18	2	1
91588.52742	3.5928619	3	19	2	3
91592.12866	3.5928242	3	20	2	1
91595.72982	3.592903	3	21	2	2
91599.33102	3.5929035	3	22	2	3
91602.93226	3.5928601	3	23	2	2
91606.53359	3.592728	3	24	2	5
91610.13466	3.5928625	3	25	2	3
91613.73587	5.9936766	3	26	1	3
91619.73782	3.5928834	3	27	3	5
91623.33906	3.5928488	3	28	3	4
91626.94026	3.5928691	3	29	3	3
91630.54151	3.5928105	3	30	3	4
91634.14263	3.5929096	3	31	3	1
91637.74386	3.592863	3	32	3	3
91641.34506	3.5928303	3	33	3	1
91644.94627	3.5928683	3	34	3	2
91648.54746	3.592874	3	35	3	3
91652.14866	3.5927885	3	36	3	2
91655.74983	3.592902	3	37	3	5
91659.35107	3.5928583	3	38	3	3
91662.95223	3.5929025	3	39	3	5
91666.55346	3.5928699	3	40	3	4
91670.15467	3.5928609	3	41	3	3
91673.75587	3.5928257	3	42	3	4
91677.35707	3.5928102	3	43	3	1
91680.95824	3.5928596	3	44	3	3
91684.55946	3.5928659	3	45	3	1
91688.16067	3.592826	3	46	3	2
91691.76187	3.592865	3	47	3	3
91695.36314	3.5927983	3	48	3	2
91698.96427	3.5928696	3	49	3	5
91702.56543	3.592904	3	50	3	3
91706.16668	5.9936573	3	51	1	3
91712.16869	3.5927911	3	52	4	5
91715.76986	3.5928822	3	53	4	4
91719.37104	3.5929081	3	54	4	3
91722.97226	3.592876	3	55	4	4
91726.57344	3.5928782	3	56	4	1
91730.17468	3.5928633	3	57	4	3
91733.77587	3.5928761	3	58	4	1
91737.37708	3.5928238	3	59	4	2
91740.97828	3.5928684	3	60	4	3
91744.57948	3.5928775	3	61	4	2
91748.18074	3.5927707	3	62	4	5
91751.78181	3.5929389	3	63	4	3
91755.38304	3.5929024	3	64	4	5
91758.98429	3.5928691	3	65	4	4
91762.58544	3.5928713	3	66	4	3
91766.18669	3.5928686	3	67	4	4
91769.78789	3.59286	3	68	4	1
91773.38907	3.592851	3	69	4	3
91776.9903	3.5928577	3	70	4	1
91780.59149	3.5928665	3	71	4	2
91784.19269	3.5928275	3	72	4	3
91787.79386	3.5928961	3	73	4	2
91791.3951	3.5928283	3	74	4	5
91794.9963	3.5928745	3	75	4	3
91798.59746	5.9936722	3	76	1	3
91804.5995	3.5928615	3	77	5	5
91808.20067	3.5929477	3	78	5	4
91811.80192	3.5928433	3	79	5	3
91815.40307	3.5928555	3	80	5	4
91819.00432	3.5929034	3	81	5	1
91822.60546	3.5929025	3	82	5	3
91826.2067	3.5928435	3	83	5	1
91829.80791	3.5928648	3	84	5	2
91833.4091	3.5928736	3	85	5	3
91837.01031	3.5928587	3	86	5	2
91840.61152	3.5928529	3	87	5	5
91844.21271	3.5928251	3	88	5	3
91847.81391	3.5928676	3	89	5	5
91851.41511	3.5928345	3	90	5	4
91855.01632	3.592914	3	91	5	3
91858.61747	3.5929103	3	92	5	4
91862.21872	3.5928285	3	93	5	1
91865.81996	3.5928153	3	94	5	3
91869.42937	3.5929633	3	95	5	1
91873.03065	3.5928403	3	96	5	2
91876.63185	3.5928682	3	97	5	3
91880.23306	3.5928223	3	98	5	2
91883.83426	3.5928732	3	99	5	5
91887.43546	3.5928783	3	100	5	3
91891.03666	5.9936258	3	101	1	3
